Kids_First_Biospecimen_ID	SBS1	SBS2	SBS3	SBS4	SBS5	SBS6	SBS7a	SBS7b	SBS7c	SBS7d	SBS8	SBS9	SBS10a	SBS10b	SBS10c	SBS10d	SBS11	SBS12	SBS13	SBS14	SBS15	SBS16	SBS17a	SBS17b	SBS18	SBS19	SBS20	SBS21	SBS22	SBS23	SBS24	SBS25	SBS26	SBS27	SBS28	SBS29	SBS30	SBS31	SBS32	SBS33	SBS34	SBS35	SBS36	SBS37	SBS38	SBS39	SBS40	SBS41	SBS42	SBS43	SBS44	SBS45	SBS46	SBS47	SBS48	SBS49	SBS50	SBS51	SBS52	SBS53	SBS54	SBS55	SBS56	SBS57	SBS58	SBS59	SBS60	SBS84	SBS85	SBS86	SBS87	SBS88	SBS89	SBS90	SBS91	SBS92	SBS93	SBS94	SBS95
BS_YKQP4SBX	0.07051542423012204	0	0.2750321565838655	0	0.35045517270085724	0	0	0	0	0	0	0.10142581015015376	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07479340646248982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YHXMYDBN	0.10571188894535034	0	0.22296912945678005	0	0.22271181904180726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08441195128870342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10052571194253941	0	0	0	0	0	0	0	0	0	0
BS_YH60H2FS	0.12556228412495682	0	0.290477568231865	0	0.2725953456612643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06970076627804403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09673482929258803	0	0	0	0	0	0	0	0	0	0
BS_YH4DYNQ2	0.14095929801919713	0	0.16207754973875732	0	0.2817171165640214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07570846166883877	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.09074599743196779	0.07100965124613957	0	0	0	0	0	0	0	0	0	0
BS_YGQS4660	0.12387794073018114	0	0.29323364818913195	0	0.12324099330873692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16953410694952925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19202628551148376	0	0	0	0	0	0	0	0	0	0
BS_YEWX69X4	0.0687664868927367	0	0.34122967883199773	0	0.26530145980431963	0	0	0	0	0	0	0.27548179980975246	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YETTZ1NC	0	0	0.6011180039587157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16589317124930184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06476701546733768	0	0	0	0	0	0	0	0	0	0
BS_YBCQBCQC	0	0	0.33840332995341366	0	0.24855550232132392	0	0	0	0	0	0	0.0945458020001793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BS_YB99Q6TN	0.18109878851741645	0	0.17596389192648584	0	0.28233557904951373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06458104820167815	0	0	0	0.10090668786695808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10975363439124258	0	0	0	0	0	0	0	0	0	0
BS_Y9GHDZKS	0.07840608690176262	0	0.3499534750743581	0	0.18204845340843803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0900931281483237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17299962862801438	0	0	0	0	0	0	0	0	0	0
