#sample_id	predicted_ancestry	given_ancestry	EAS_prob	AFR_prob	AMR_prob	SAS_prob	EUR_prob	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA19448	AFR	AFR	0	0.9985	0.0015	0	0	59.693600000000004	-16.1103	-1.2141	1.4885	-1.831	NA	NA	NA	NA	NA
HG03380	AFR	AFR	0	0.9992	8e-4	0	0	62.9287	-17.0017	-1.0756	0.2795	2.6203	NA	NA	NA	NA	NA
HG02646	AFR	AFR	0	0.9998	2e-4	0	0	61.7491	-17.4269	-0.6799	2.0007	-2.0197	NA	NA	NA	NA	NA
HG02699	SAS	SAS	0	0	0	1	0	0.2685	0.5191	11.6737	-1.7411	2.6245	NA	NA	NA	NA	NA
HG03779	SAS	SAS	0	0	0	1	0	0.7516	-7.9512	19.596	-3.9768	3.5882	NA	NA	NA	NA	NA
HG04198	SAS	SAS	0	0	0	1	0	0.8106	-6.675	20.26	-5.6291	4.2349	NA	NA	NA	NA	NA
NA20876	SAS	SAS	0	0	0	1	0	0.7273	-5.3041	18.1595	-5.5373	-1.8808	NA	NA	NA	NA	NA
HG01515	EUR	EUR	0	0	0.0033	0	0.9967	0.3512	14.7225	-6.3494	10.221	2.537	NA	NA	NA	NA	NA
NA21109	SAS	SAS	0	0	0	1	0	1.1891	-6.2427	17.4032	-3.3882	3.7939	NA	NA	NA	NA	NA
HG01848	EAS	EAS	1	0	0	0	0	-6.7428	-43.6558	-0.4094	7.0564	5.0442	NA	NA	NA	NA	NA
NA18908	AFR	AFR	0	0.9999	1e-4	0	0	61.948	-18.2966	0.2129	1.0773	-2.9285	NA	NA	NA	NA	NA
NA18940	EAS	EAS	0.9989	0	0.0011	0	0	-7.0301	-43.4011	-2.1562	5.8862	-5.4331	NA	NA	NA	NA	NA
HG02397	EAS	EAS	1	0	0	0	0	-8.5544	-43.4275	-1.5651	9.0825	6.932	NA	NA	NA	NA	NA
